Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,user-definedlabeln
20.00,81.00,275.00,144623.00,76003.00,31174.00,20232.00,14408.00,13970.00,15196.00,14990.00,0
21.00,70.00,88.00,748194.00,119448.00,15397.00,9809.00,5250.00,10989.00,25103.00,16081.00,0
24.00,67.00,38.00,1139671.00,115395.00,147609.00,28080.00,15904.00,65985.00,72893.00,13977.00,0
26.00,75.00,113.00,2723077.00,269807.00,36989.00,182983.00,75587.00,38358.00,50226.00,26529.00,0
26.00,78.00,65.00,811696.00,155624.00,121384.00,49527.00,22563.00,34212.00,48464.00,16027.00,0
29.00,87.00,108.00,1052039.00,144155.00,48221.00,19583.00,19691.00,21952.00,61247.00,12496.00,0
24.00,66.00,-66.00,2251456.00,578610.00,37462.00,35203.00,35198.00,85490.00,219885.00,58174.00,0
34.00,69.00,-186.00,2514836.00,89905.00,42659.00,132116.00,55290.00,62948.00,68355.00,26482.00,0
30.00,78.00,85.00,1827581.00,169756.00,556251.00,138551.00,51900.00,81716.00,105580.00,67511.00,0
29.00,83.00,25.00,2030223.00,293889.00,124693.00,88720.00,48841.00,45727.00,91273.00,12308.00,0
24.00,91.00,108.00,946374.00,134512.00,32208.00,10813.00,4270.00,14117.00,42212.00,7154.00,0
13.00,78.00,102.00,735302.00,135645.00,14433.00,14690.00,8000.00,10193.00,23067.00,8241.00,0
13.00,57.00,22.00,2004390.00,1031826.00,125083.00,234589.00,77074.00,114806.00,222111.00,84108.00,0
13.00,54.00,-91.00,500702.00,134751.00,4368.00,75803.00,35046.00,18167.00,36778.00,19022.00,0
17.00,60.00,73.00,93861.00,54928.00,24251.00,6985.00,3551.00,13126.00,9308.00,2973.00,0
26.00,70.00,36.00,1960707.00,312717.00,197014.00,54408.00,32096.00,93044.00,165044.00,34694.00,0
21.00,77.00,169.00,2708043.00,507360.00,109523.00,190233.00,50581.00,42260.00,117666.00,30864.00,0
23.00,70.00,-11.00,1000754.00,140243.00,28477.00,5054.00,4164.00,15184.00,36877.00,6094.00,0
21.00,57.00,69.00,1055442.00,546016.00,58607.00,10126.00,11200.00,77770.00,111190.00,16986.00,0
23.00,54.00,87.00,1850490.00,256988.00,80487.00,73274.00,65090.00,81129.00,37915.00,19027.00,0
34.00,51.00,8.00,1070340.00,128811.00,54004.00,4362.00,9190.00,31349.00,15836.00,2875.00,0
34.00,57.00,18.00,1136743.00,75230.00,58180.00,4166.00,28324.00,13465.00,23144.00,5618.00,0
35.00,69.00,81.00,148800.00,14999.00,6717.00,1389.00,3813.00,3299.00,6734.00,2236.00,0
41.00,61.00,18.00,177702.00,80465.00,10347.00,8977.00,6486.00,39691.00,6189.00,8714.00,0
44.00,51.00,168.00,658847.00,54472.00,8759.00,2233.00,11340.00,18944.00,15409.00,4323.00,0
50.00,38.00,4.00,649385.00,87338.00,3157.00,10348.00,6734.00,16234.00,18458.00,5517.00,0
48.00,30.00,40.00,199370.00,88345.00,11875.00,7753.00,5622.00,11409.00,28140.00,8635.00,0
47.00,35.00,125.00,481555.00,204302.00,25220.00,36287.00,49244.00,87583.00,84718.00,22923.00,0
20.00,43.00,148.00,1259232.00,833640.00,95490.00,61902.00,33732.00,46434.00,167431.00,16621.00,0
21.00,24.00,-101.00,744091.00,337196.00,5143.00,7303.00,23705.00,42594.00,45711.00,14853.00,0
13.00,17.00,-71.00,1038445.00,199679.00,374.00,24238.00,23214.00,25964.00,17117.00,11279.00,0
47.00,23.00,-58.00,587813.00,276755.00,47356.00,13611.00,18425.00,112767.00,55090.00,6949.00,1
48.00,37.00,18.00,264810.00,7319.00,1347.00,1468.00,1754.00,2469.00,2389.00,1271.00,1
56.00,44.00,84.00,1817666.00,259465.00,22213.00,71445.00,69577.00,105431.00,141042.00,29641.00,1
50.00,50.00,-24.00,821687.00,143836.00,33747.00,24584.00,40563.00,27901.00,20353.00,9265.00,1
40.00,51.00,-68.00,242816.00,146001.00,50443.00,2625.00,9570.00,15659.00,12204.00,11630.00,1
34.00,41.00,50.00,959252.00,112919.00,6242.00,7836.00,6310.00,12317.00,15924.00,4350.00,1
23.00,53.00,38.00,922691.00,333224.00,184451.00,139707.00,13783.00,54284.00,26299.00,32400.00,1
21.00,51.00,109.00,169733.00,52272.00,12774.00,4658.00,5475.00,8867.00,45725.00,5557.00,1
27.00,54.00,-76.00,1202987.00,161495.00,77222.00,28338.00,20339.00,45577.00,21255.00,16799.00,1
37.00,69.00,105.00,33577.00,11125.00,7648.00,1738.00,648.00,5643.00,2689.00,980.00,1
44.00,70.00,89.00,63133.00,12756.00,12818.00,6149.00,2044.00,6174.00,4615.00,1109.00,1
35.00,64.00,28.00,676343.00,826317.00,76939.00,33394.00,62740.00,34632.00,80925.00,14775.00,1
29.00,63.00,-46.00,1162415.00,649500.00,129777.00,221773.00,90690.00,95418.00,72384.00,33277.00,1
29.00,63.00,33.00,288236.00,121.00,25.00,317.00,694.00,519.00,214.00,81.00,1
29.00,63.00,-68.00,74528.00,44871.00,2788.00,1975.00,992.00,1565.00,1708.00,748.00,1
29.00,63.00,69.00,545366.00,160277.00,304340.00,92843.00,22182.00,50318.00,14695.00,15992.00,1
14.00,56.00,-71.00,298313.00,234443.00,27649.00,40937.00,12836.00,16821.00,28966.00,15167.00,1
10.00,34.00,-11.00,182939.00,100926.00,875.00,7090.00,23134.00,12788.00,4851.00,6447.00,1
21.00,43.00,150.00,379931.00,91727.00,7973.00,33202.00,12517.00,16603.00,24430.00,10394.00,1
17.00,37.00,156.00,43644.00,33058.00,4270.00,3049.00,1914.00,2671.00,3857.00,1477.00,1
26.00,40.00,34.00,398425.00,84511.00,34219.00,10801.00,18914.00,17699.00,15827.00,8938.00,1
35.00,54.00,168.00,443092.00,72962.00,37050.00,13731.00,29177.00,33064.00,34259.00,4145.00,1
44.00,56.00,8.00,1082479.00,21918.00,3740.00,14282.00,6225.00,13507.00,17251.00,6944.00,1
51.00,56.00,-39.00,1068753.00,262454.00,42871.00,15223.00,19254.00,40968.00,70221.00,24895.00,1
60.00,61.00,41.00,194450.00,29385.00,18535.00,18906.00,3559.00,25461.00,20912.00,3797.00,1
43.00,53.00,-89.00,610881.00,170524.00,25664.00,1575.00,23860.00,9199.00,17815.00,6949.00,1
26.00,48.00,74.00,169314.00,33288.00,6966.00,845.00,3375.00,2625.00,6038.00,2417.00,1
16.00,56.00,128.00,654419.00,116539.00,50959.00,37232.00,11432.00,8388.00,22612.00,5190.00,1
7.00,50.00,109.00,1131002.00,300616.00,52970.00,65322.00,41347.00,51419.00,106017.00,9744.00,1
10.00,40.00,105.00,292247.00,64972.00,982.00,1650.00,1654.00,4351.00,3129.00,873.00,1
29.00,37.00,23.00,88054.00,7479.00,1452.00,618.00,1812.00,5371.00,7911.00,1034.00,1
44.00,14.00,-69.00,1262195.00,354375.00,11297.00,12341.00,33118.00,80270.00,68064.00,17724.00,1
44.00,13.00,-36.00,1220490.00,423369.00,95835.00,42024.00,38255.00,77992.00,69040.00,19116.00,1
67.00,24.00,56.00,101383.00,57893.00,3210.00,16989.00,36472.00,53640.00,79281.00,17528.00,1
64.00,30.00,-1.00,255715.00,28712.00,14734.00,5202.00,3653.00,16925.00,24674.00,2306.00,1
66.00,51.00,-81.00,458250.00,21843.00,6774.00,9508.00,3937.00,10056.00,10236.00,6375.00,1
57.00,43.00,-130.00,49369.00,35622.00,1383.00,2455.00,718.00,2415.00,3483.00,1904.00,1
54.00,47.00,77.00,993562.00,124854.00,15999.00,21540.00,28511.00,69313.00,55979.00,14474.00,1
44.00,40.00,-29.00,258503.00,290570.00,52426.00,16923.00,38262.00,43073.00,23830.00,18919.00,1
43.00,35.00,140.00,94366.00,57081.00,2664.00,16599.00,2510.00,15217.00,6706.00,7145.00,1
48.00,50.00,53.00,248770.00,247662.00,138823.00,21735.00,23601.00,47448.00,38013.00,42517.00,1
41.00,53.00,76.00,2206606.00,221162.00,67257.00,34158.00,62384.00,65893.00,42664.00,8459.00,1
57.00,54.00,93.00,139264.00,29319.00,10090.00,12350.00,21991.00,40732.00,66196.00,16866.00,1
53.00,64.00,153.00,735766.00,158608.00,86087.00,61452.00,34017.00,33634.00,55752.00,23909.00,1
66.00,57.00,61.00,318032.00,89032.00,20928.00,12538.00,9927.00,54217.00,28213.00,23216.00,1
74.00,57.00,43.00,1078285.00,16225.00,8291.00,2956.00,4196.00,13242.00,11392.00,3705.00,1
50.00,53.00,59.00,240769.00,454835.00,31885.00,38457.00,8178.00,40062.00,63935.00,15239.00,1
56.00,48.00,22.00,2311485.00,139933.00,32682.00,52895.00,13552.00,55017.00,19074.00,14664.00,1
47.00,44.00,-54.00,635374.00,114038.00,16095.00,6551.00,16733.00,18516.00,6723.00,4277.00,1
48.00,44.00,118.00,557205.00,66769.00,21612.00,24172.00,17787.00,66593.00,38974.00,25209.00,1
51.00,47.00,123.00,267453.00,184135.00,25709.00,9402.00,16390.00,21550.00,64270.00,7065.00,1
50.00,37.00,-44.00,1578372.00,211963.00,32371.00,5387.00,17628.00,46940.00,66707.00,52263.00,1
56.00,29.00,48.00,338610.00,111379.00,4459.00,6347.00,14254.00,37887.00,10831.00,10775.00,1
47.00,37.00,44.00,2561495.00,108093.00,60186.00,49205.00,27369.00,47630.00,51514.00,8504.00,1
54.00,41.00,12.00,620989.00,109861.00,37278.00,17557.00,18989.00,42198.00,27086.00,15870.00,1
50.00,56.00,-21.00,1619267.00,77483.00,68454.00,20786.00,27901.00,16435.00,24156.00,19057.00,1
50.00,69.00,55.00,716119.00,154465.00,74192.00,19414.00,29154.00,85313.00,36150.00,48516.00,1
51.00,60.00,74.00,337561.00,119085.00,32630.00,6660.00,24543.00,37129.00,31966.00,41705.00,1
43.00,54.00,8.00,682102.00,109504.00,17918.00,6535.00,13661.00,13859.00,14663.00,4981.00,1
47.00,50.00,-195.00,592990.00,39088.00,12492.00,5503.00,1778.00,8170.00,14921.00,8665.00,1
44.00,51.00,32.00,1028511.00,204681.00,51497.00,87620.00,25237.00,88873.00,41723.00,34720.00,1
27.00,54.00,-17.00,377645.00,250983.00,49847.00,27548.00,16579.00,15290.00,8594.00,10354.00,1
26.00,53.00,-134.00,1511816.00,464244.00,49478.00,34991.00,47575.00,46645.00,129072.00,84001.00,1
23.00,64.00,69.00,361594.00,57607.00,91397.00,22438.00,4539.00,18157.00,22665.00,17051.00,1
30.00,63.00,44.00,388042.00,20087.00,14346.00,5328.00,4024.00,22825.00,51086.00,4293.00,1
47.00,74.00,-130.00,2288027.00,109429.00,98931.00,72193.00,40445.00,62149.00,86928.00,23723.00,1
66.00,81.00,4.00,723623.00,72046.00,52744.00,17300.00,7535.00,104680.00,102093.00,22214.00,1
60.00,61.00,119.00,1803415.00,168946.00,16540.00,9822.00,16075.00,9896.00,17077.00,2623.00,1
51.00,63.00,131.00,1683654.00,191088.00,82872.00,53364.00,17686.00,69352.00,93798.00,36011.00,1
47.00,57.00,-195.00,1020271.00,64421.00,22536.00,17636.00,8987.00,14004.00,19858.00,4234.00,1
30.00,48.00,-29.00,339093.00,340248.00,29360.00,22688.00,32236.00,53024.00,97043.00,21770.00,1
30.00,44.00,49.00,299478.00,214094.00,16968.00,7130.00,3987.00,11349.00,16342.00,6784.00,1
29.00,34.00,-147.00,265760.00,61614.00,4673.00,5975.00,8926.00,13899.00,16392.00,4157.00,1
26.00,24.00,-75.00,3224853.00,632673.00,81694.00,43354.00,44880.00,66165.00,81295.00,26401.00,1
37.00,41.00,-36.00,814434.00,36478.00,52762.00,69392.00,33132.00,59745.00,33934.00,32489.00,1
54.00,47.00,181.00,501266.00,124397.00,11790.00,20877.00,30225.00,58560.00,53238.00,23202.00,1
47.00,47.00,11.00,609468.00,208344.00,26400.00,4383.00,14868.00,19908.00,8743.00,5298.00,1
43.00,43.00,38.00,539017.00,520466.00,48659.00,24051.00,18712.00,43322.00,46598.00,23760.00,1
30.00,37.00,-151.00,99011.00,52648.00,20434.00,6968.00,8641.00,8499.00,8244.00,4347.00,1
14.00,35.00,17.00,557661.00,97560.00,6846.00,11386.00,22440.00,6976.00,16080.00,3154.00,1
34.00,40.00,55.00,1206062.00,73226.00,3660.00,26830.00,9518.00,58352.00,41927.00,24916.00,1
53.00,50.00,26.00,564672.00,14166.00,7096.00,9635.00,5627.00,19336.00,9803.00,5944.00,1
48.00,43.00,-38.00,747531.00,429929.00,26951.00,48728.00,11404.00,35088.00,25237.00,16807.00,1
60.00,41.00,41.00,863283.00,571820.00,65454.00,24327.00,40195.00,126870.00,68219.00,14776.00,1
50.00,47.00,-181.00,1240833.00,171580.00,93214.00,6833.00,20174.00,59061.00,77384.00,15396.00,1
35.00,37.00,96.00,585832.00,247339.00,33617.00,13637.00,21322.00,35364.00,41252.00,26106.00,1
54.00,38.00,104.00,1230740.00,165605.00,26158.00,33560.00,19701.00,113852.00,36018.00,12727.00,1
37.00,35.00,-26.00,1152797.00,596751.00,31288.00,14043.00,20244.00,16913.00,41235.00,11239.00,1
30.00,27.00,562.00,693655.00,388761.00,42547.00,31729.00,24668.00,56557.00,29465.00,6524.00,1
29.00,30.00,321.00,1314046.00,36097.00,13028.00,5092.00,38636.00,6591.00,7341.00,1836.00,1
17.00,37.00,16.00,906115.00,35721.00,9248.00,5814.00,3593.00,7320.00,2177.00,4098.00,1
20.00,29.00,-4.00,307411.00,741874.00,4955.00,22323.00,33489.00,23041.00,37547.00,7727.00,1
13.00,40.00,24.00,1134470.00,156265.00,78965.00,14098.00,7883.00,13450.00,31900.00,18831.00,1
10.00,43.00,35.00,1303918.00,170981.00,68438.00,25508.00,55637.00,25721.00,74329.00,19298.00,1
14.00,44.00,52.00,1995158.00,95757.00,33140.00,43449.00,49735.00,48064.00,67959.00,19646.00,1
38.00,64.00,-2.00,1057077.00,85253.00,23782.00,27036.00,29616.00,56219.00,32341.00,25595.00,1
43.00,57.00,-70.00,983561.00,408268.00,73047.00,49538.00,14162.00,47428.00,60168.00,43369.00,1
57.00,57.00,8.00,858523.00,17381.00,8223.00,6128.00,5337.00,14611.00,13450.00,5682.00,1
51.00,57.00,97.00,2069695.00,223964.00,11762.00,116027.00,41416.00,47825.00,115709.00,26584.00,1
51.00,47.00,-7.00,554161.00,106207.00,6868.00,8297.00,31749.00,44537.00,62702.00,21367.00,1
51.00,51.00,59.00,689724.00,62806.00,29248.00,8430.00,24013.00,8776.00,29748.00,9335.00,1
34.00,40.00,70.00,1291215.00,638300.00,29990.00,52593.00,56159.00,45282.00,66732.00,12457.00,1
43.00,35.00,152.00,1719844.00,76689.00,14608.00,16656.00,27039.00,43578.00,62062.00,18163.00,1
47.00,37.00,-90.00,1575458.00,237953.00,5693.00,36651.00,57734.00,131248.00,38480.00,17152.00,1
60.00,37.00,-180.00,132968.00,113111.00,55545.00,4251.00,6927.00,58530.00,47541.00,27135.00,1
77.00,50.00,38.00,1519635.00,76825.00,75922.00,38186.00,37803.00,78226.00,50802.00,19546.00,1
67.00,50.00,4.00,89000.00,11385.00,1978.00,1434.00,1392.00,2475.00,2296.00,930.00,1
57.00,61.00,-3.00,570562.00,45285.00,18556.00,9612.00,14590.00,11369.00,12309.00,3321.00,1
56.00,56.00,48.00,2265864.00,153168.00,48422.00,10278.00,57577.00,55312.00,76162.00,19970.00,1
47.00,56.00,9.00,212076.00,21114.00,17835.00,5047.00,13397.00,6216.00,18187.00,4629.00,1
